Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
T025G_S190_L001_R1_001	T025G_S190_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2579373.0	260.5 Mbp	0.0	101.0	35.0	82.91613912518744	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T025G_S190_L002_R1_001	T025G_S190_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2590219.0	261.6 Mbp	0.0	101.0	35.0	83.07589283299318	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T026F_S179_L001_R1_001	T026F_S179_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3475505.0	351 Mbp	0.0	101.0	31.0	75.06049213321896	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T026F_S179_L002_R1_001	T026F_S179_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3499953.0	353.4 Mbp	0.0	101.0	31.0	75.58724445115698	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T026G_S191_L001_R1_001	T026G_S191_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3132289.0	316.3 Mbp	0.0	101.0	33.0	83.85296005525944	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T026G_S191_L002_R1_001	T026G_S191_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3136763.0	316.8 Mbp	0.0	101.0	33.0	84.168800818701	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T027F_S180_L001_R1_001	T027F_S180_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3624906.0	366.1 Mbp	0.0	101.0	30.0	76.45480769348613	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T027F_S180_L002_R1_001	T027F_S180_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3644832.0	368.1 Mbp	0.0	101.0	30.0	77.05054841487167	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T027G_S192_L001_R1_001	T027G_S192_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2200362.0	222.2 Mbp	0.0	101.0	34.0	86.36851305346252	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T027G_S192_L002_R1_001	T027G_S192_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2200281.0	222.2 Mbp	0.0	101.0	34.0	86.63898208793879	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
